dataset,n_classes,features,sample_rate,noise_rate,epochs,batch_size,restore_best,model,data_length_time,n_h_block,n_train_h_block,n_valid_h_block,n_test_h_block,h_moving_step,segments_times,segments_overlaps,decision_times,decision_overlaps,inner_classifier,datetime,running_time,n_params,Core_mse_loss_mean,Core_mse_loss_std,Core_mse_loss_max,Core_mse_loss_min,Core_accuracy_mean,Core_accuracy_std,Core_accuracy_max,Core_accuracy_min,Core_precision_mean,Core_precision_std,Core_precision_max,Core_precision_min,Core_recall_mean,Core_recall_std,Core_recall_max,Core_recall_min,Core_f1_mean,Core_f1_std,Core_f1_max,Core_f1_min,MV_mse_loss_mean,MV_mse_loss_std,MV_mse_loss_max,MV_mse_loss_min,MV_accuracy_mean,MV_accuracy_std,MV_accuracy_max,MV_accuracy_min,MV_precision_mean,MV_precision_std,MV_precision_max,MV_precision_min,MV_recall_mean,MV_recall_std,MV_recall_max,MV_recall_min,MV_f1_mean,MV_f1_std,MV_f1_max,MV_f1_min,MS_mse_loss_mean,MS_mse_loss_std,MS_mse_loss_max,MS_mse_loss_min,MS_accuracy_mean,MS_accuracy_std,MS_accuracy_max,MS_accuracy_min,MS_precision_mean,MS_precision_std,MS_precision_max,MS_precision_min,MS_recall_mean,MS_recall_std,MS_recall_max,MS_recall_min,MS_f1_mean,MS_f1_std,MS_f1_max,MS_f1_min
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MULTI_CNN,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,MULTI_CNN,2022:03:26 22:14:22,858 seconds,6330333,0.040980464,0.008282554,0.053185623,0.027533604,0.689189189,0.060718166,0.7907585,0.598953793,0.677790579,0.058245781,0.765875718,0.574059493,0.683991324,0.057086902,0.77482139,0.594398144,0.65563222,0.061742167,0.76050301,0.571693198,0.021810713,0.007428859,0.031667717,0.011804199,0.802721088,0.069374415,0.918367347,0.734693878,0.793538762,0.090464,0.953379953,0.660946746,0.811609687,0.077459516,0.935897436,0.711538462,0.781984661,0.089466233,0.933974359,0.67985348,0.021641452,0.006982525,0.031072391,0.012256345,0.806122449,0.068451061,0.918367347,0.734693878,0.796707922,0.086618249,0.963636364,0.697435897,0.815883191,0.074719309,0.935897436,0.711538462,0.782289311,0.090439651,0.940811966,0.684312068
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MULTI_CNN,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,MULTI_CNN,2022:03:26 22:37:37,816 seconds,6330333,0.040600816,0.009411465,0.052457158,0.025963796,0.689334496,0.068929872,0.79250218,0.598081953,0.668442037,0.074586597,0.759853069,0.56264733,0.698583715,0.050546991,0.774531023,0.625533612,0.661524059,0.064768479,0.7522919,0.579210716,0.021728838,0.008291625,0.030749297,0.008109157,0.80952381,0.094015476,0.959183673,0.673469388,0.7721735,0.115245043,0.91025641,0.615779093,0.822649573,0.083843133,0.927350427,0.717948718,0.777832415,0.104995264,0.915238193,0.65042735,0.021371146,0.007932982,0.029863469,0.00830166,0.819727891,0.099573341,0.959183673,0.673469388,0.78398569,0.122413905,0.958333333,0.619230769,0.831908832,0.094780206,0.974358974,0.717948718,0.789606038,0.11299313,0.962749505,0.653261359
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MULTI_CNN,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,MULTI_CNN,2022:03:27 02:10:06,821 seconds,6330333,0.04198782,0.009580713,0.054074604,0.027835004,0.681197326,0.066663271,0.775937228,0.602441151,0.672746049,0.050782002,0.725397242,0.584008822,0.67377609,0.052247359,0.750101995,0.614009396,0.647891139,0.053739579,0.728937177,0.582095831,0.023546694,0.008227371,0.032806844,0.011832677,0.782312925,0.104505384,0.93877551,0.693877551,0.770653664,0.100851845,0.941025641,0.66971917,0.779558405,0.108129065,0.944444444,0.641025641,0.753839004,0.113316887,0.940881487,0.638210702,0.022814068,0.008084382,0.032581542,0.011477741,0.799319728,0.100957973,0.93877551,0.693877551,0.763777954,0.105134259,0.941025641,0.672255095,0.785968661,0.109137752,0.944444444,0.641025641,0.758569463,0.113709874,0.940881487,0.640034965
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,CNN_L,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,CNN_L,2022:03:27 02:16:21,375 seconds,2120061,0.033667024,0.009804099,0.052081119,0.02174269,0.731618715,0.071673869,0.823016565,0.60418483,0.727235683,0.066140934,0.804299502,0.609507671,0.734331355,0.074530865,0.815354644,0.598046782,0.700960632,0.075113038,0.793012474,0.583111686,0.019096981,0.008726366,0.034536891,0.007098182,0.840136054,0.087712904,0.959183673,0.673469388,0.792652718,0.112100921,0.93974359,0.615384615,0.821509972,0.102677308,0.933333333,0.636752137,0.790853015,0.111320512,0.927472527,0.609288587,0.019114201,0.008731096,0.033827078,0.007184324,0.853741497,0.082828542,0.979591837,0.714285714,0.827710715,0.11423761,0.987179487,0.702472527,0.856125356,0.091877581,0.991452991,0.747863248,0.826976233,0.109238388,0.988482106,0.704815772
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MLP,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,MLP,2022:03:27 02:17:43,82 seconds,407565,0.053781267,0.00643465,0.066635892,0.046610873,0.553472828,0.036945899,0.595466434,0.486486486,0.552571215,0.038915857,0.610213539,0.477418604,0.555063925,0.043156967,0.595012452,0.46665547,0.523625201,0.036118102,0.552814253,0.453483395,0.035943002,0.005708937,0.0461987,0.026990177,0.680272109,0.045124147,0.734693878,0.591836735,0.630903754,0.052572935,0.688694639,0.536840121,0.679843305,0.058613733,0.737179487,0.598290598,0.624691647,0.062845702,0.697271105,0.533428964,0.035516667,0.005418045,0.045356434,0.027218547,0.666666667,0.056096675,0.714285714,0.551020408,0.618258896,0.063251264,0.694139194,0.524038462,0.665598291,0.077108336,0.745726496,0.534188034,0.612713935,0.073142201,0.702397265,0.506119371
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,KNN,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,KNN,2022:03:27 02:17:59,15 seconds,-1,0.068696508,0.008435011,0.078264385,0.056066014,0.477477477,0.055946625,0.556233653,0.39668701,0.508139454,0.058390909,0.587451887,0.410680467,0.454401315,0.034317913,0.494025375,0.404434644,0.428642556,0.04195166,0.485167583,0.35624268,0.047916884,0.009294298,0.06059441,0.033269614,0.537414966,0.064176742,0.653061224,0.469387755,0.516436341,0.066282757,0.603937729,0.423076923,0.511039886,0.037038749,0.553418803,0.452991453,0.461215842,0.042299117,0.519519455,0.406015779,0.043279687,0.008699907,0.052538648,0.029204356,0.615646259,0.063905763,0.714285714,0.551020408,0.58911402,0.061765419,0.711538462,0.528388278,0.623575499,0.081956044,0.77991453,0.521367521,0.562505502,0.069300281,0.700579134,0.487097217
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,LR,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,LR,2022:03:27 03:28:22,20 seconds,-1,0.110187158,0.004027404,0.117094792,0.104889065,0.283783784,0.026178184,0.318221447,0.238884045,0.248828784,0.020621626,0.281930646,0.220332531,0.237419997,0.016854586,0.266818419,0.220544251,0.231730571,0.017506418,0.265725295,0.213012993,0.063106421,0.003699987,0.069244653,0.056728501,0.367346939,0.048581146,0.469387755,0.326530612,0.242893173,0.079218629,0.34047619,0.159879336,0.266157916,0.060294435,0.376068376,0.202686203,0.232176513,0.057253258,0.32002442,0.16266554,0.063106421,0.003699987,0.069244653,0.056728501,0.367346939,0.048581146,0.469387755,0.326530612,0.242893173,0.079218629,0.34047619,0.159879336,0.266157916,0.060294435,0.376068376,0.202686203,0.232176513,0.057253258,0.32002442,0.16266554
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,RF,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,RF,2022:03:27 03:31:01,30 seconds,-1,0.068540003,0.005441873,0.076185346,0.062638335,0.242226097,0.069008396,0.385353095,0.1673932,0.31705036,0.088232155,0.419527513,0.157347142,0.198894202,0.018490175,0.228455247,0.16921902,0.155077441,0.023341829,0.191722419,0.125821523,0.104622838,0.00977532,0.116311938,0.08495748,0.231292517,0.096923856,0.428571429,0.12244898,0.130754727,0.036044928,0.172557173,0.078947368,0.188644689,0.033220434,0.230769231,0.153846154,0.12703051,0.037329593,0.183946488,0.08086785,0.06205985,0.004486507,0.069821335,0.057148553,0.411564626,0.041518897,0.469387755,0.346938776,0.280933511,0.073342582,0.383333333,0.153800366,0.323310948,0.049372736,0.38034188,0.256410256,0.262919302,0.053314647,0.334798535,0.170691521
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,SVM,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,SVM,2022:03:27 03:38:09,56 seconds,-1,0.119173794,0.004073307,0.126617953,0.113205045,0.225370532,0.026476521,0.264167393,0.176983435,0.187176936,0.023061015,0.222459934,0.150258199,0.197595683,0.024564641,0.23929371,0.160410477,0.187115528,0.022674523,0.225613027,0.152083206,0.064465069,0.004117477,0.070597365,0.058216482,0.31292517,0.083869578,0.448979592,0.224489796,0.212103637,0.06798613,0.348076923,0.133158508,0.227472527,0.080396502,0.386446886,0.157509158,0.204326706,0.069082399,0.347874123,0.144289044,0.064465069,0.004117477,0.070597365,0.058216482,0.31292517,0.083869578,0.448979592,0.224489796,0.212103637,0.06798613,0.348076923,0.133158508,0.227472527,0.080396502,0.386446886,0.157509158,0.204326706,0.069082399,0.347874123,0.144289044
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MULTI_CNN,-1,10,5,2,3,1,00:00:24,0.75,00:00:24,0,MULTI_CNN,2022:03:27 04:06:26,701 seconds,37787613,0.072115078,0.007771384,0.082029432,0.061840985,0.452069717,0.066698342,0.522875817,0.379084967,0.403355434,0.070503572,0.510102273,0.31720253,0.443543809,0.034100882,0.484772936,0.38187701,0.389152616,0.054942027,0.465123307,0.310705023,0.084296968,0.010261282,0.095525391,0.073403724,0.452069717,0.066698342,0.522875817,0.379084967,0.403355434,0.070503572,0.510102273,0.31720253,0.443543809,0.034100882,0.484772936,0.38187701,0.389152616,0.054942027,0.465123307,0.310705023,0.072115078,0.007771384,0.082029432,0.061840985,0.452069717,0.066698342,0.522875817,0.379084967,0.403355434,0.070503572,0.510102273,0.31720253,0.443543809,0.034100882,0.484772936,0.38187701,0.389152616,0.054942027,0.465123307,0.310705023
